Project Code,Region Name,Location Name,Area,Sub Area
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Area Parkir
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Area Parkir 1 (roda 2)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Area Parkir 2 (roda 4)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Area Parkir 3 (roda 4)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Gallery
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Gudang Bahan Baku
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Gudang Bahan Kimia
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Gudang Produksi
BRIN20230426,Bali,Denpasar Bali,Rumah Dinas,Halaman 1
BRIN20230426,Bali,Denpasar Bali,Rumah Dinas,Halaman 2
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Kamar Asrama Putra 1
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Kamar Asrama Putra 2
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Kamar Asrama Putri 1
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Kamar Asrama Putri 2
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Lobby Asrama Putra
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Lobby Asrama Putri
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Lobby Gedung Administrasi
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Lobby Gedung Laboratorium
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Lorong Administrasi
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Pantry
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Pembentukan dan Kriya ukir
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Pencetakan
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Ruang Arsip
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Ruang CWS 1
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Ruang CWS 2
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Ruang Kerja INA TWS
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Pimpinan (Ka.BTIKK)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Ruang Kerja Produksi (Kriya lukis)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Ruang Kerja Produksi (Pembakaran]
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Ruang Kerja Produksi (Pengolahan bahan baku)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (Desain)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (KPJT. 1)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (KPJT. 2)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (Pengelola Keuangan)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (PPT)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Staff (Sekretaris)
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Ruang Kerja Staff Laboratorium
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Kerja Sub.Kordinator TU dan Staff TU
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Ruang Kontrol Panel Listrik
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Ruang Kontrol Rapat
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Ruang Laboratorium
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Ruang Rapat
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Ruang Rapat
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Ruang Tamu
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Ruang Training Center
BRIN20230426,Bali,Denpasar Bali,Rumah Dinas,Rumah Dinas Pimpinan
BRIN20230426,Bali,Denpasar Bali,Security,Security Function
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Tempat Ibadah (Mushola)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Toilet (Pria)
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Toilet (Pria)
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Toilet (Pria)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Toilet (Pria)
BRIN20230426,Bali,Denpasar Bali,Gedung Administrasi Lt. 1 ,Toilet (Wanita)
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Toilet (Wanita)
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.2,Toilet (Wanita)
BRIN20230426,Bali,Denpasar Bali,Gedung Produksi Lt.1,Toilet (Wanita)
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Toilet 1
BRIN20230426,Bali,Denpasar Bali,Gedung Asrama Lt.1,Toilet 2
BRIN20230426,Bali,Denpasar Bali,Gedung Laboratorium Lt.1,Toilet VIP
